  0%|          | 0/3602 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 1.8191, 'grad_norm': 3.301847776708867, 'learning_rate': 4.587155963302753e-06, 'epoch': 0.03}
{'loss': 1.8766, 'grad_norm': 3.6592118133133473, 'learning_rate': 4.678899082568808e-06, 'epoch': 0.03}
{'loss': 1.7972, 'grad_norm': 3.8283825146716417, 'learning_rate': 4.770642201834863e-06, 'epoch': 0.03}
{'loss': 1.6874, 'grad_norm': 3.6730930239730775, 'learning_rate': 4.862385321100918e-06, 'epoch': 0.03}
{'loss': 1.7436, 'grad_norm': 3.178872478280768, 'learning_rate': 4.954128440366973e-06, 'epoch': 0.03}
{'loss': 1.7237, 'grad_norm': 3.3129346821565147, 'learning_rate': 5.045871559633028e-06, 'epoch': 0.03}
{'loss': 1.756, 'grad_norm': 3.3100017304086045, 'learning_rate': 5.137614678899083e-06, 'epoch': 0.03}
{'loss': 1.7609, 'grad_norm': 3.549484422860476, 'learning_rate': 5.229357798165137e-06, 'epoch': 0.03}
{'loss': 1.8474, 'grad_norm': 3.5208008270038618, 'learning_rate': 5.3211009174311936e-06, 'epoch': 0.03}
{'loss': 1.675, 'grad_norm': 3.5419286498493583, 'learning_rate': 5.412844036697248e-06, 'epoch': 0.03}
{'loss': 1.6968, 'grad_norm': 3.12982584561231, 'learning_rate': 5.504587155963303e-06, 'epoch': 0.03}
{'loss': 1.7269, 'grad_norm': 3.3382099163686867, 'learning_rate': 5.596330275229358e-06, 'epoch': 0.03}
{'loss': 1.6381, 'grad_norm': 3.4807721880798037, 'learning_rate': 5.688073394495414e-06, 'epoch': 0.03}
