  0%|          | 0/1801 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 1.6993, 'grad_norm': 3.3182401320257253, 'learning_rate': 9.090909090909091e-06, 'epoch': 0.03}
{'loss': 1.7422, 'grad_norm': 2.977493723250141, 'learning_rate': 9.272727272727273e-06, 'epoch': 0.03}
{'loss': 1.5706, 'grad_norm': 3.4718133534716125, 'learning_rate': 9.454545454545456e-06, 'epoch': 0.03}
{'loss': 1.6367, 'grad_norm': 3.241975956374848, 'learning_rate': 9.636363636363638e-06, 'epoch': 0.03}
{'loss': 1.6003, 'grad_norm': 2.954202801932083, 'learning_rate': 9.81818181818182e-06, 'epoch': 0.03}
{'loss': 1.6663, 'grad_norm': 3.207917103101886, 'learning_rate': 1e-05, 'epoch': 0.03}
{'loss': 1.6406, 'grad_norm': 3.1136100744237076, 'learning_rate': 9.999991906224424e-06, 'epoch': 0.03}
{'loss': 1.5867, 'grad_norm': 2.8249370661009197, 'learning_rate': 9.999967624923899e-06, 'epoch': 0.03}
{'loss': 1.6038, 'grad_norm': 3.1374542881639655, 'learning_rate': 9.999927156177032e-06, 'epoch': 0.03}
{'loss': 1.5907, 'grad_norm': 3.192837660132541, 'learning_rate': 9.999870500114847e-06, 'epoch': 0.03}
{'loss': 1.57, 'grad_norm': 3.0413175871300986, 'learning_rate': 9.999797656920765e-06, 'epoch': 0.03}
{'loss': 1.6104, 'grad_norm': 2.9391883794955396, 'learning_rate': 9.999708626830617e-06, 'epoch': 0.03}
{'loss': 1.5441, 'grad_norm': 2.85600390672497, 'learning_rate': 9.999603410132641e-06, 'epoch': 0.03}
{'loss': 1.6393, 'grad_norm': 3.070844695097741, 'learning_rate': 9.999482007167473e-06, 'epoch': 0.04}
{'loss': 1.5612, 'grad_norm': 2.90221659761406, 'learning_rate': 9.999344418328161e-06, 'epoch': 0.04}
{'loss': 1.6075, 'grad_norm': 3.0981593793393247, 'learning_rate': 9.999190644060148e-06, 'epoch': 0.04}
{'loss': 1.5734, 'grad_norm': 2.761423879530883, 'learning_rate': 9.999020684861278e-06, 'epoch': 0.04}
{'loss': 1.5818, 'grad_norm': 3.210567261488341, 'learning_rate': 9.998834541281798e-06, 'epoch': 0.04}
{'loss': 1.5204, 'grad_norm': 3.2451450528228474, 'learning_rate': 9.998632213924351e-06, 'epoch': 0.04}
{'loss': 1.5039, 'grad_norm': 2.7419022892209934, 'learning_rate': 9.99841370344397e-06, 'epoch': 0.04}
{'loss': 1.5264, 'grad_norm': 3.036913269084472, 'learning_rate': 9.998179010548087e-06, 'epoch': 0.04}
[2025-05-14 20:42:55,307] [WARNING] [stage3.py:2135:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 1.6019, 'grad_norm': 3.183336892526966, 'learning_rate': 9.997928135996525e-06, 'epoch': 0.04}
{'loss': 1.5596, 'grad_norm': 2.7770889026057555, 'learning_rate': 9.997661080601488e-06, 'epoch': 0.04}
{'loss': 1.5952, 'grad_norm': 2.9088882763487383, 'learning_rate': 9.997377845227577e-06, 'epoch': 0.04}
{'loss': 1.4693, 'grad_norm': 3.1612228385982424, 'learning_rate': 9.997078430791761e-06, 'epoch': 0.04}
{'loss': 1.4935, 'grad_norm': 2.8143991427295414, 'learning_rate': 9.996762838263403e-06, 'epoch': 0.04}
{'loss': 1.4853, 'grad_norm': 2.8066385685597175, 'learning_rate': 9.996431068664237e-06, 'epoch': 0.04}
{'loss': 1.5477, 'grad_norm': 2.899017626325472, 'learning_rate': 9.996083123068369e-06, 'epoch': 0.04}
{'loss': 1.511, 'grad_norm': 3.5933271121982804, 'learning_rate': 9.995719002602279e-06, 'epoch': 0.04}
{'loss': 1.467, 'grad_norm': 2.9999018022877633, 'learning_rate': 9.995338708444804e-06, 'epoch': 0.04}
{'loss': 1.4271, 'grad_norm': 3.291630669748889, 'learning_rate': 9.994942241827157e-06, 'epoch': 0.04}
{'loss': 1.5674, 'grad_norm': 3.5963839468178733, 'learning_rate': 9.994529604032901e-06, 'epoch': 0.05}
{'loss': 1.5353, 'grad_norm': 3.024689604060231, 'learning_rate': 9.994100796397954e-06, 'epoch': 0.05}
{'loss': 1.4893, 'grad_norm': 3.086967065014045, 'learning_rate': 9.993655820310587e-06, 'epoch': 0.05}
{'loss': 1.4898, 'grad_norm': 3.1298575075473574, 'learning_rate': 9.993194677211411e-06, 'epoch': 0.05}
{'loss': 1.4685, 'grad_norm': 3.024784992009771, 'learning_rate': 9.992717368593385e-06, 'epoch': 0.05}
{'loss': 1.4602, 'grad_norm': 3.0693781854608218, 'learning_rate': 9.992223896001801e-06, 'epoch': 0.05}
{'loss': 1.5754, 'grad_norm': 3.2293973075573876, 'learning_rate': 9.991714261034278e-06, 'epoch': 0.05}
{'loss': 1.5035, 'grad_norm': 3.367132161315774, 'learning_rate': 9.991188465340766e-06, 'epoch': 0.05}
{'loss': 1.5132, 'grad_norm': 3.223116331262688, 'learning_rate': 9.990646510623536e-06, 'epoch': 0.05}
